,name,stars,rating,reviews_count,has_free_wifi,gallery_images_count,address,start_year,good_district
146,Apartment BALLET HOME,,,,True,26,"1-y Monetchikovskiy pereulok 8, Замоскворечье, Москва, Россия",2017,False
147,MaxRealty24 Беговая 28,,7.8,14,True,33,"Беговая 28, Беговой, Москва, Россия",2015,False
148,Апартаменты Беларусская,,9.0,30,True,26,"Большой Кондратьевский переулок 4к2, Пресненский, Москва, Россия",2015,True
149,Apartment Belorusskaya,,9.5,7,True,28,"Ленинградский пр-т 24 кв.14, Беговой, Москва, Россия",2016,True
150,Apartment Beregovoy 5,,,,True,23,"Beregovoy proezd 5, Филевский парк, Москва, Россия",2017,False
151,Lakshmi Apartment on Afanasyevsky,,7.9,41,True,19,"Bolshoy Afanasyevsky Pereulok 11/13, Хамовники, Москва, Россия",2015,True
152,Apartment Bolshoy Gnezdnikovsky 10,,8.9,63,True,58,"Bolshoy Gnezdnikovsky Pereulok 10, Тверской, Москва, Россия",2016,True
153,Apartment Brusnika on Taganskaya,,,,True,26,"marksistskaia 1k1, Таганский, Москва, Россия",2017,False
154,Апартаменты Дмитровка Центр,,9.3,37,True,18,"Улица Бутырская 15, Савеловский, Москва, Россия",2015,False
155,Apartment Classic,,8.9,11,True,54,"15 ulitsa Kosmonavta Volkova, Войковский, Москва, Россия",2016,False
156,Apartment Expert-City New Arbat,,,,True,30,"Kutuzovsky Prospekt  23, Арбат, Москва, Россия",2015,True
157,Apartment Flatio Fantastic,,8.7,31,True,40,"Bolshaya tatarskaya 26, Замоскворечье, Москва, Россия",2015,False
158,Apartment G-Kvartal Prospekt Mira,,,,True,27,"11 pereulok Vasnetsova, Мещанский, Москва, Россия",2017,True
159,Apartment G-Kvartal VDNH,,,,True,24,"3 Ракетный бульвар, Алексеевский, Москва, Россия",2017,False
160,Apartment Galushkina 17,,7.0,19,True,22,"Borisa Galushkina 17, Алексеевский, Москва, Россия",2015,False
